,title,subtitle,price_unit,price,price_unit_2,price_2,type_size,bedrooms,suite,parking,description
0,"Quadra 107 Rua E, NORTE, AGUAS CLARAS",,R$,2.550,m² R$,35,Aluguel Apartamento 72 m²,3 Quartos,1 Suíte,2 Vagas,"AP13545 - Apartamento para alugar com 3 quartos, 72m² - Quadra 107 Rua E - Dominium Residence, Águas Claras - Df Para a... 21/08/22"
1,"Rua 22, SUL, AGUAS CLARAS",,R$,2.400,m² R$,31,Aluguel Apartamento 76 m²,3 Quartos,1 Suíte,1 Vaga,Sala com varanda; 03 quartos com armários (01 suíte); Cozinha com armários sob e sobre pia; Área serviço; Banheiro d... 21/08/22
2,"Rua 08, PARQUE ESPLANADA II, VALPARAISO DE GOIAS",,R$,750,m² R$,15,Aluguel Apartamento 48 m²,2 Quartos,1 Suíte,1 Vaga,"APARTAMENTO 02 QUARTOS COM 1 SUÍTE - BELLO SOLARE - VALPARAÍSO-GO. Apartamento de 2 quartos,1 suíte com box nos dois ba... 21/08/22"
3,"Rua COPAIBA, NORTE, AGUAS CLARAS",,R$,2.200,m² R$,50,Aluguel Apartamento 44 m²,1 Quarto,1 Suíte,1 Vaga,"AP13667 - Apartamento para alugar com 1 quarto, 44m² - Rua Copaiba Lote 01 - Df Century Plaza, Águas Claras - Df MOBÍLI... 21/08/22"
4,"Avenida das Castanheiras, NORTE, AGUAS CLARAS",,R$,1.400,m² R$,42,Aluguel Apartamento 32 m²,1 Quarto,1 Suíte,1 Vaga,"BRASÍLIA IMÓVEIS VENDE: Apartamento no Residencial Real Splendor com aproximadamente 32,57m², 9° andar, uma vaga de ga... 21/08/22"
5,"SQS 306 Bloco G, ASA SUL, BRASILIA",1º andar,R$,5.000,m² R$,32,Aluguel Apartamento 154 m²,3 Quartos,1 Suíte,,"Excelente Apartamento Reformado para Locação - A partir do dia 25/08/2022 Prédio reformado com 3 portarias, 6 andares c... 21/08/22"
6,"SQS 308 Bloco I, ASA SUL, BRASILIA",,R$,3.800,m² R$,33,Aluguel Apartamento 115 m²,2 Quartos,1 Vaga,,- Excepcional localização - SQS 308 - Patrimônio de Brasília; - Próximo a tudo de melhor da melhor da Asa Sul - Comérci... 21/08/22
7,"Rua 13, NORTE, AGUAS CLARAS",,R$,2.300,m² R$,41,Aluguel Apartamento 55 m²,2 Quartos,1 Suíte,1 Vaga,"Aluga-se lindo apartamento em ótima localização de Águas Claras. Apartamento mobiliado, com 02 quartos amplos, sala, co... 21/08/22"
8,"SHTN Trecho 1, ASA NORTE, BRASILIA",,R$,3.200,m² R$,60,Aluguel Apartamento 53 m²,1 Quarto,1 Suíte,1 Vaga,"APARTAMENTO DE 01 QUARTO NO LAKESIDE COM VAGA DE GARAGEM! Sala: com sofá e poltrona, rack com tv, mesa de apoio, mesa de... 21/08/22"
9,"SHN Quadra 05 Bloco I, ASA NORTE, BRASILIA","Mercure rReforma Total, Mobilia completa, nasc. Vista livre",R$,4.600,m² R$,92,Aluguel Apartamento 50 m²,1 Quarto,1 Suíte,,"ALUGUEL DIRETO COM O PROPRIETARIO: VALOR DA LOCAÇÃO JÁ INCLUI O CONDOMINIO E O IPTU, ARRUMAÇÃO DIARIA, NET E INTERNET. ... 21/08/22"
10,"CSG 3, TAGUATINGA SUL, TAGUATINGA",Taguá Life Center,R$,1.900,m² R$,51,Aluguel Apartamento 37 m²,1 Quarto,1 Suíte,,"*** ALUGUEL DIRETO COM O PROPRIETÁRIO *** ALUGO este IMPECÁVEL apartamento, MOBILIADO, com 37m2, no CSG3, BLOCO D, Con... 21/08/22"
11,"Rua 24, NORTE, AGUAS CLARAS","LA BELLE MAISON PERSONNALISEÈ, La Belle Maison Personnalisée",R$,2.300,m² R$,37,Aluguel Apartamento 62 m²,2 Quartos,1 Suíte,1 Vaga,MAISON PERSONNALISEÈ (TODO REFORMADO) - 2 QUARTOS - 62m² *SEM MOBILIA* Apartamento de fino acabamento com projeto de i... 21/08/22
12,"SQN 308 Bloco D, ASA NORTE, BRASILIA",,R$,4.600,m² R$,37,Aluguel Apartamento 123 m²,3 Quartos,1 Suíte,1 Vaga,- Melhor quadra da Asa Norte - o Melhor bloco da quadra - agende sua visita 9.8504.0000 - Fácil acesso ao melhor e mais ... 21/08/22
13,"Rua 33, NORTE, AGUAS CLARAS",,R$,2.600,m² R$,20,Aluguel Apartamento 125 m²,3 Quartos,1 Suíte,1 Vaga,"Excelente apartamento de canto composto 3 quartos, sendo 1 suíte e 2 com varanda, lavabo, sala com 2 ambientes e vara... 21/08/22"
14,"CA 11, LAGO NORTE, BRASILIA",,R$,1.400,m² R$,51,Aluguel Kitnet 27 m²,1 Quarto,1 Vaga,,Excelente apartamento na SHIN CA 11 ED. NEXT - Lago Norte - 2° Andar; - 27 m² ; - Semi-mobiliada; - cama com colchão... 21/08/22
15,"SQNW 307 Bloco D, NOROESTE, BRASILIA",,R$,2.100,m² R$,70,Aluguel Apartamento 30 m²,1 Quarto,1 Vaga,,"Conforto e qualidade! Oportunidade apt 1 quarto - SQNW 307. Composto por quarto com cama, armário, ar condicionado, espe... 21/08/22"
16,"SQB 1, GUARA I, GUARA",,R$,4.320,m² R$,42,Aluguel Apartamento 101 m²,3 Quartos,1 Suíte,2 Vagas,"Lindo Apartamento 3 quartos + 2 VG - SQB, Rua Quaresmeira - Guara I (0402) Top Line Prime. Imóveis exclusivos para cl... 21/08/22"
17,"SQN 112 Bloco A, ASA NORTE, BRASILIA",,R$,4.800,m² R$,35,Aluguel Apartamento 137 m²,3 Quartos,1 Suíte,1 Vaga,Alugas-se belo apartamento com ótima localização Endereço: SQN 112 - Agende sua visita agora mesmo Maravilhoso apa... 21/08/22
18,"Área Especial 4, GUARA II, GUARA",,R$,2.950,m² R$,44,Aluguel Apartamento 66 m²,2 Quartos,1 Suíte,1 Vaga,"Imóvel ideal para quem busca lazer sem sair de casa! Localizado no Condomínio Sports Club, AE 04, próximo a diversos c... 21/08/22"
19,"Rua 25, NORTE, AGUAS CLARAS",,R$,2.500,m² R$,43,Aluguel Apartamento 58 m²,2 Quartos,1 Suíte,1 Vaga,"MAISON VIVIANE RINALDI Apartamento de 2 quartos, sendo 01 suíte, banheiro social, armários planejados em todos os ambien... 21/08/22"
20,"QC 1, JARDINS MANGUEIRAL, BRASILIA",,R$,1.700,m² R$,35,Aluguel Apartamento 48 m²,2 Quartos,1 Vaga,,"Ótimo apartamento térreo, localizado na QC 01, quadra mais próxima ao centro de Brasília, composto: Sala dois ambientes ... 21/08/22"
21,"SQN 111 Bloco C, ASA NORTE, BRASILIA",,R$,7.950,m² R$,57,Aluguel Apartamento 138 m²,3 Quartos,2 Suítes,2 Vagas,"O condomínio residencial Maison Strauss é composto por uma torre única. Prédio com cobertura coletiva, salão de festa... 21/08/22"
22,"SQSW 100 Bloco G, SUDOESTE, BRASILIA",,R$,8.500,m² R$,42,Aluguel Apartamento 200 m²,3 Quartos,2 Suítes,2 Vagas,"SQSW 100 Bloco G, Maison Constance / Sudoeste Apartamento reformado com vista livre para o parque da cidade, com a segu... 21/08/22"
23,"QMSW 4 Lote 4, SUDOESTE, BRASILIA",,R$,1.200,m² R$,40,Aluguel Apartamento 30 m²,1 Quarto,1 Vaga,,Reformado - QMSW 04 BL 04 - ED. MONTE OLIMPO - SUDOESTE Excelente apartamento com piso flutuante composta por: Sala co... 21/08/22
24,"CA 02, LAGO NORTE, BRASILIA",,R$,850,m² R$,26,Aluguel Kitnet 32 m²,1 Quarto,,,"SALA, COPA COM ARMÁRIO, TANQUE ESPAÇO PARA MAQUINA DE LAVAR, 01 QUARTOS COM ARMÁRIO, BANHEIRO SOCIAL COM BOX, PISO CERÂM... 21/08/22"
25,"Quadra 208, SUL, AGUAS CLARAS",,R$,3.400,m² R$,30,Aluguel Apartamento 112 m²,1 Quarto,1 Suíte,2 Vagas,"AP13212 - Apartamento para alugar com 2 quartos, 112m² - Qd 208 Lote 05 - Costa Verde, Águas Claras, Df Excelente opção... 21/08/22"
26,"QI 3, SETOR INDUSTRIAL, TAGUATINGA",,R$,1.600,m² R$,27,Aluguel Apartamento 58 m²,2 Quartos,1 Suíte,1 Vaga,"Altos de Taguatinga I - 2 Quartos Suíte Apartamento de 55m² com 2 quartos e varanda. O imóvel dispõe de: - 2 Quartos, s... 21/08/22"
