,rent,size_m2,property_type,bedrooms,suite,parking,neighborhood
0,2.550,72,Apartamento ,3,1,2, AGUAS CLARAS
1,2.400,76,Apartamento ,3,1,1, AGUAS CLARAS
2,750,48,Apartamento ,2,1,1, VALPARAISO DE GOIAS
3,2.200,44,Apartamento ,1,1,1, AGUAS CLARAS
4,1.400,32,Apartamento ,1,1,1, AGUAS CLARAS
5,5.000,154,Apartamento ,3,1,, ASA SUL
6,3.800,115,Apartamento ,2,1,, ASA SUL
7,2.300,55,Apartamento ,2,1,1, AGUAS CLARAS
8,3.200,53,Apartamento ,1,1,1, ASA NORTE
9,4.600,50,Apartamento ,1,1,, ASA NORTE
10,1.900,37,Apartamento ,1,1,, TAGUATINGA
11,2.300,62,Apartamento ,2,1,1, AGUAS CLARAS
12,4.600,123,Apartamento ,3,1,1, ASA NORTE
13,2.600,125,Apartamento ,3,1,1, AGUAS CLARAS
14,1.400,27,Kitnet ,1,1,, LAGO NORTE
15,2.100,30,Apartamento ,1,1,, NOROESTE
16,4.320,101,Apartamento ,3,1,2, GUARA
17,4.800,137,Apartamento ,3,1,1, ASA NORTE
18,2.950,66,Apartamento ,2,1,1, GUARA
19,2.500,58,Apartamento ,2,1,1, AGUAS CLARAS
20,1.700,48,Apartamento ,2,1,, JARDINS MANGUEIRAL
21,7.950,138,Apartamento ,3,2,2, ASA NORTE
22,8.500,200,Apartamento ,3,2,2, SUDOESTE
23,1.200,30,Apartamento ,1,1,, SUDOESTE
24,850,32,Kitnet ,1,,, LAGO NORTE
25,3.400,112,Apartamento ,1,1,2, AGUAS CLARAS
26,1.600,58,Apartamento ,2,1,1, TAGUATINGA
27,14.500,266,Apartamento ,4,4,4, SUDOESTE
28,3.000,91,Apartamento ,2,1,, ASA NORTE
29,410,28,Kitnet ,1,,, GAMA
30,2.450,62,Apartamento ,2,1,1, AGUAS CLARAS
31,5.500,160,Apartamento ,3,1,1, ASA SUL
32,4.800,123,Apartamento ,3,1,, ASA NORTE
33,3.300,70,Apartamento ,3,1,1, AGUAS CLARAS
34,2.750,55,Apartamento ,2,1,1, AGUAS CLARAS
35,4.950,127,Apartamento ,3,1,2, AGUAS CLARAS
36,4.800,75,Apartamento ,2,1,2, NOROESTE
37,1.600,72,Apartamento ,3,1,1, GAMA
38,3.700,146,Apartamento ,3,1,2, AGUAS CLARAS
39,3.000,90,Apartamento ,2,,, ASA SUL
40,14.500,245,Apartamento ,4,4,3, ASA SUL
41,4.200,81,Apartamento ,2,1,2, NOROESTE
42,3.900,120,Apartamento ,4,1,, ASA NORTE
43,3.000,48,Apartamento ,1,1,1, ASA SUL
44,2.600,100,Apartamento ,3,1,, ASA SUL
45,1.100,25,Kitnet ,1,,, ASA NORTE
46,1.900,62,Apartamento ,3,,, CRUZEIRO
47,3.100,96,Apartamento ,3,1,2, AGUAS CLARAS
48,4.200,126,Apartamento ,3,1,, ASA SUL
49,6.800,100,Apartamento ,2,2,2, NOROESTE
50,8.390,105,Apartamento ,2,1,1, ASA SUL
51,1.000,55,Apartamento ,2,,, CEILANDIA
52,730,30,Apartamento ,1,,, RIACHO FUNDO
53,2.400,11,Apartamento ,2,1,1, AGUAS CLARAS
54,2.500,64,Apartamento ,2,1,1, AGUAS CLARAS
55,1.400,58,Apartamento ,2,1,, AGUAS CLARAS
56,1.100,28,Kitnet ,1,,, ASA SUL
57,3.700,26,Apartamento ,1,1,1, SUDOESTE
58,1.900,28,Apartamento ,1,1,2, SUDOESTE
59,8.800,135,Apartamento ,3,1,2, NOROESTE
60,9.500,302,Apartamento ,3,1,1, ASA SUL
61,1.800,34,Apartamento ,1,1,1, AGUAS CLARAS
62,2.600,72,Apartamento ,3,1,1, GUARA
63,1.300,33,Kitnet ,1,,, PARK SUL
64,5.600,64,Apartamento ,1,1,1, ASA SUL
65,4.500,130,Apartamento ,3,1,1, ASA NORTE
66,2.200,62,Apartamento ,2,1,, LAGO NORTE
67,2.900,87,Apartamento ,3,1,1, AGUAS CLARAS
68,2.800,68,Apartamento ,2,,, CRUZEIRO
69,17.000,160,Apartamento ,3,3,, NOROESTE
70,8.000,210,Apartamento ,4,1,2, ASA SUL
71,600,43,Apartamento ,2,1,, VALPARAISO DE GOIAS
72,11.900,209,Apartamento ,3,1,2, ASA SUL
73,2.000,59,Apartamento ,1,1,, ASA SUL
74,70.900,121,Apartamento ,4,2,, SETOR INDUSTRIAL
75,2.000,36,Apartamento ,1,1,, AGUAS CLARAS
76,5.500,158,Apartamento ,3,1,1, ASA SUL
77,4.000,101,Apartamento ,3,1,2, AGUAS CLARAS
78,5.250,150,Apartamento ,2,2,1, ASA SUL
79,3.000,57,Apartamento ,2,1,, SUDOESTE
80,1.000,27,Apartamento ,1,1,, AGUAS CLARAS
81,8.000,163,Apartamento ,3,1,1, ASA SUL
82,3.300,101,Apartamento ,3,1,1, AGUAS CLARAS
83,3.600,142,Apartamento ,3,2,2, AGUAS CLARAS
84,3.400,76,Apartamento ,3,1,, ASA NORTE
85,1.500,34,Apartamento ,1,,, ASA SUL
86,4.600,120,Apartamento ,3,1,1, ASA NORTE
87,3.300,90,Apartamento ,2,,, ASA SUL
88,2.000,104,Apartamento ,3,,, GUARA
89,3.200,70,Apartamento ,3,1,, ASA NORTE
90,3.200,80,Apartamento ,3,1,1, GUARA
